Date,TP,Treatment,Treatment_Cage,Dose_ppm,mean_Survival,n_class
2021-09-07,5,P,P6,5,72,2
2021-09-07,5,P,P6,7.5,48,2
2021-09-07,5,P,P6,10,47,2
2021-09-07,5,P,P7,0,91,2
2021-09-07,5,P,P7,2.5,81,2
2021-09-07,5,P,P7,5,74,2
2021-09-07,5,P,P7,7.5,64,2
2021-09-07,5,P,P7,10,32,2
2021-09-07,5,P,P8,0,90,2
2021-09-07,5,P,P8,2.5,85,2
2021-09-07,5,P,P8,5,71,2
2021-09-07,5,P,P8,7.5,57.99999999999999,2
2021-09-07,5,P,P8,10,40,2
2021-09-07,5,P,P9,0,88,2
2021-09-07,5,P,P9,2.5,84,2
2021-09-07,5,P,P9,5,77,2
2021-09-07,5,P,P9,7.5,59,2
2021-09-07,5,P,P9,10,46,1
2021-09-21,6,E,E1,0,89,2
2021-09-21,6,E,E1,2.5,47,2
2021-09-21,6,E,E1,5,31,2
2021-09-21,6,E,E1,7.5,12,2
2021-09-21,6,E,E1,10,5,2
2021-09-21,6,E,E1,15,1,2
2021-09-21,6,E,E10,0,84,2
2021-09-21,6,E,E10,2.5,32,2
2021-09-21,6,E,E10,5,24,2
2021-09-21,6,E,E10,7.5,8,2
2021-09-21,6,E,E10,10,4,2
2021-09-21,6,E,E10,15,3,2
2021-09-21,6,E,E2,0,90,2
2021-09-21,6,E,E2,2.5,38,2
2021-09-21,6,E,E2,5,24,2
2021-09-21,6,E,E2,7.5,11,2
2021-09-21,6,E,E2,10,2,2
2021-09-21,6,E,E2,15,1,2
2021-09-21,6,E,E3,0,88,2
2021-09-21,6,E,E3,2.5,32,2
2021-09-21,6,E,E3,5,26,2
2021-09-21,6,E,E3,7.5,9,2
2021-09-21,6,E,E3,10,7,2
2021-09-21,6,E,E3,15,4,2
2021-09-21,6,E,E4,0,87,2
2021-09-21,6,E,E4,2.5,43,2
2021-09-21,6,E,E4,5,36,2
2021-09-21,6,E,E4,7.5,14,2
2021-09-21,6,E,E4,10,6,2
2021-09-21,6,E,E4,15,6,2
2021-09-21,6,E,E5,0,82,2
2021-09-21,6,E,E5,2.5,44,2
2021-09-21,6,E,E5,5,31,2
2021-09-21,6,E,E5,7.5,26,2
2021-09-21,6,E,E5,10,5,2
2021-09-21,6,E,E5,15,2,2
2021-09-21,6,E,E6,0,84,2
2021-09-21,6,E,E6,2.5,38,2
2021-09-21,6,E,E6,5,22,2
2021-09-21,6,E,E6,7.5,14,2
2021-09-21,6,E,E6,10,4,2
2021-09-21,6,E,E6,15,1,2
2021-09-21,6,E,E7,0,77,2
2021-09-21,6,E,E7,2.5,40,2
2021-09-21,6,E,E7,5,28,2
2021-09-21,6,E,E7,7.5,14,2
2021-09-21,6,E,E7,10,4,2
2021-09-21,6,E,E7,15,3,2
2021-09-21,6,E,E8,0,92,2
2021-09-21,6,E,E8,2.5,39,2
2021-09-21,6,E,E8,5,30,2
2021-09-21,6,E,E8,7.5,19,2
2021-09-21,6,E,E8,10,7,2
2021-09-21,6,E,E8,15,2,2
2021-09-21,6,E,E9,0,88,2
2021-09-21,6,E,E9,2.5,47,2
2021-09-21,6,E,E9,5,28,2
2021-09-21,6,E,E9,7.5,15,2
2021-09-21,6,E,E9,10,6,2
2021-09-21,6,E,E9,15,1,2
2021-09-21,6,P,P1,0,79,2
2021-09-21,6,P,P1,2.5,76,2
2021-09-21,6,P,P1,5,79,2
2021-09-21,6,P,P1,7.5,71,2
2021-09-21,6,P,P1,10,60,2
2021-09-21,6,P,P1,15,44,2
2021-09-21,6,P,P10,0,87,2
2021-09-21,6,P,P10,2.5,76,2
2021-09-21,6,P,P10,5,75,2
2021-09-21,6,P,P10,7.5,61,2
2021-09-21,6,P,P10,10,51,2
2021-09-21,6,P,P10,15,40,2
2021-09-21,6,P,P2,0,86,2
2021-09-21,6,P,P2,2.5,78,2
2021-09-21,6,P,P2,5,69,2
2021-09-21,6,P,P2,7.5,66,2
2021-09-21,6,P,P2,10,53,2
2021-09-21,6,P,P2,15,48,2
2021-09-21,6,P,P3,0,83,2
2021-09-21,6,P,P3,2.5,77,2
2021-09-21,6,P,P3,5,72,2
2021-09-21,6,P,P3,7.5,66,2
2021-09-21,6,P,P3,10,51,2
2021-09-21,6,P,P3,15,37,2
2021-09-21,6,P,P4,0,85,2
2021-09-21,6,P,P4,2.5,91,2
2021-09-21,6,P,P4,5,82,2
2021-09-21,6,P,P4,7.5,74,2
2021-09-21,6,P,P4,10,53,2
2021-09-21,6,P,P4,15,39,2
2021-09-21,6,P,P5,0,84,2
2021-09-21,6,P,P5,2.5,90,2
2021-09-21,6,P,P5,5,83,2
2021-09-21,6,P,P5,7.5,79,2
2021-09-21,6,P,P5,10,50,2
2021-09-21,6,P,P5,15,37,2
2021-09-21,6,P,P6,0,91,2
2021-09-21,6,P,P6,2.5,77,2
2021-09-21,6,P,P6,5,74,2
2021-09-21,6,P,P6,7.5,63,2
2021-09-21,6,P,P6,10,67,2
2021-09-21,6,P,P6,15,45,2
2021-09-21,6,P,P7,0,86,2
2021-09-21,6,P,P7,2.5,85,2
2021-09-21,6,P,P7,5,81,2
2021-09-21,6,P,P7,7.5,67,2
2021-09-21,6,P,P7,10,59,2
2021-09-21,6,P,P7,15,44,2
2021-09-21,6,P,P8,0,81,2
2021-09-21,6,P,P8,2.5,81,2
2021-09-21,6,P,P8,5,78,2
2021-09-21,6,P,P8,7.5,66,2
2021-09-21,6,P,P8,10,63,2
2021-09-21,6,P,P8,15,37,2
2021-09-21,6,P,P9,0,89,2
2021-09-21,6,P,P9,2.5,81,2
2021-09-21,6,P,P9,5,82,2
2021-09-21,6,P,P9,7.5,64,2
2021-09-21,6,P,P9,10,55,2
2021-09-21,6,P,P9,15,48,2
2021-10-20,7,E,E1,0,89,2
2021-10-20,7,E,E1,2.5,39,2
2021-10-20,7,E,E1,5,21,2
2021-10-20,7,E,E1,7.5,13,2
2021-10-20,7,E,E1,10,3,2
2021-10-20,7,E,E1,15,1,2
2021-10-20,7,E,E10,0,94,2
2021-10-20,7,E,E10,2.5,34,2
2021-10-20,7,E,E10,5,22,2
2021-10-20,7,E,E10,7.5,10,2
2021-10-20,7,E,E10,10,8,2
2021-10-20,7,E,E10,15,4,2
2021-10-20,7,E,E2,0,93,2
2021-10-20,7,E,E2,2.5,29,2
2021-10-20,7,E,E2,5,9,2
2021-10-20,7,E,E2,7.5,10,2
2021-10-20,7,E,E2,10,5,2
2021-10-20,7,E,E2,15,3,2
2021-10-20,7,E,E3,0,86,2
2021-10-20,7,E,E3,2.5,30,2
2021-10-20,7,E,E3,5,27,2
2021-10-20,7,E,E3,7.5,7,2
2021-10-20,7,E,E3,10,7,2
2021-10-20,7,E,E3,15,1,2
2021-10-20,7,E,E4,0,83,2
2021-10-20,7,E,E4,2.5,40,2
2021-10-20,7,E,E4,5,21,2
2021-10-20,7,E,E4,7.5,10,2
2021-10-20,7,E,E4,10,4,2
2021-10-20,7,E,E4,15,3,2
2021-10-20,7,E,E5,0,87,2
2021-10-20,7,E,E5,2.5,33,2
2021-10-20,7,E,E5,5,24,2
2021-10-20,7,E,E5,7.5,10,2
2021-10-20,7,E,E5,10,8,2
2021-10-20,7,E,E5,15,4,2
2021-10-20,7,E,E6,0,87,2
2021-10-20,7,E,E6,2.5,38,2
2021-10-20,7,E,E6,5,27,2
2021-10-20,7,E,E6,7.5,9,2
2021-10-20,7,E,E6,10,5,2
2021-10-20,7,E,E6,15,2,2
2021-10-20,7,E,E7,0,91,2
2021-10-20,7,E,E7,2.5,33,2
2021-10-20,7,E,E7,5,26,2
2021-10-20,7,E,E7,7.5,11,2
2021-10-20,7,E,E7,10,6,2
2021-10-20,7,E,E7,15,3,2
2021-10-20,7,E,E8,0,88,2
2021-10-20,7,E,E8,2.5,30,2
2021-10-20,7,E,E8,5,18,2
2021-10-20,7,E,E8,7.5,13,2
2021-10-20,7,E,E8,10,1,2
2021-10-20,7,E,E8,15,2,2
2021-10-20,7,E,E9,0,85,2
2021-10-20,7,E,E9,2.5,45,2
2021-10-20,7,E,E9,5,16,2
2021-10-20,7,E,E9,7.5,7,2
2021-10-20,7,E,E9,10,1,2
2021-10-20,7,E,E9,15,3,2
2021-10-20,7,P,P1,0,91,2
2021-10-20,7,P,P1,2.5,84,2
2021-10-20,7,P,P1,5,77,2
2021-10-20,7,P,P1,7.5,66,2
2021-10-20,7,P,P1,10,53,2
2021-10-20,7,P,P1,15,49,2
2021-10-20,7,P,P10,0,79,2
2021-10-20,7,P,P10,2.5,83,2
2021-10-20,7,P,P10,5,79,2
2021-10-20,7,P,P10,7.5,68,2
2021-10-20,7,P,P10,10,52,2
2021-10-20,7,P,P10,15,41,2
2021-10-20,7,P,P2,0,88,2
2021-10-20,7,P,P2,2.5,77,2
2021-10-20,7,P,P2,5,69,2
2021-10-20,7,P,P2,7.5,60,2
2021-10-20,7,P,P2,10,55,2
2021-10-20,7,P,P2,15,35,2
2021-10-20,7,P,P3,0,78,2
2021-10-20,7,P,P3,2.5,87,2
2021-10-20,7,P,P3,5,60,2
2021-10-20,7,P,P3,7.5,68,2
2021-10-20,7,P,P3,10,43,2
2021-10-20,7,P,P3,15,24,2
2021-10-20,7,P,P4,0,86,2
2021-10-20,7,P,P4,2.5,77,2
2021-10-20,7,P,P4,5,69,2
2021-10-20,7,P,P4,7.5,67,2
2021-10-20,7,P,P4,10,44,2
2021-10-20,7,P,P4,15,16,2
2021-10-20,7,P,P5,0,86,2
2021-10-20,7,P,P5,2.5,84,2
2021-10-20,7,P,P5,5,65,2
2021-10-20,7,P,P5,7.5,74,2
2021-10-20,7,P,P5,10,43,2
2021-10-20,7,P,P5,15,30,2
2021-10-20,7,P,P6,0,89,2
2021-10-20,7,P,P6,2.5,80,2
2021-10-20,7,P,P6,5,77,2
2021-10-20,7,P,P6,7.5,56,2
2021-10-20,7,P,P6,10,44,2
2021-10-20,7,P,P6,15,44,2
2021-10-20,7,P,P7,0,89,2
2021-10-20,7,P,P7,2.5,80,2
2021-10-20,7,P,P7,5,74,2
2021-10-20,7,P,P7,7.5,61,2
2021-10-20,7,P,P7,10,52,2
2021-10-20,7,P,P7,15,40,2
2021-10-20,7,P,P8,0,82,2
2021-10-20,7,P,P8,2.5,78,2
2021-10-20,7,P,P8,5,78,2
2021-10-20,7,P,P8,7.5,63,2
2021-10-20,7,P,P8,10,55,2
2021-10-20,7,P,P8,15,24,2
2021-10-20,7,P,P9,0,88,2
2021-10-20,7,P,P9,2.5,93,2
2021-10-20,7,P,P9,5,75,2
2021-10-20,7,P,P9,7.5,58,2
2021-10-20,7,P,P9,10,45,2
2021-10-20,7,P,P9,15,42,2
2021-12-22,9,E,E1,0,77,2
2021-12-22,9,E,E1,2.5,32,2
2021-12-22,9,E,E1,5,27,2
2021-12-22,9,E,E1,7.5,12,2
2021-12-22,9,E,E1,10,6,2
2021-12-22,9,E,E1,15,4,2
2021-12-22,9,E,E10,0,69,2
2021-12-22,9,E,E10,2.5,50,2
2021-12-22,9,E,E10,5,28,2
2021-12-22,9,E,E10,7.5,11,2
2021-12-22,9,E,E10,10,7,2
2021-12-22,9,E,E10,15,4,2
2021-12-22,9,E,E2,0,88,2
2021-12-22,9,E,E2,2.5,42,2
2021-12-22,9,E,E2,5,22,2
2021-12-22,9,E,E2,7.5,15,2
2021-12-22,9,E,E2,10,4,2
2021-12-22,9,E,E2,15,1,2
2021-12-22,9,E,E3,0,83,2
2021-12-22,9,E,E3,2.5,37,2
2021-12-22,9,E,E3,5,29,2
2021-12-22,9,E,E3,7.5,12,2
2021-12-22,9,E,E3,10,3,2
2021-12-22,9,E,E3,15,4,2
2021-12-22,9,E,E4,0,86,2
2021-12-22,9,E,E4,2.5,39,2
2021-12-22,9,E,E4,5,24,2
2021-12-22,9,E,E4,7.5,11,2
2021-12-22,9,E,E4,10,3,2
2021-12-22,9,E,E4,15,3,2
2021-12-22,9,E,E5,0,89,2
2021-12-22,9,E,E5,2.5,59,2
2021-12-22,9,E,E5,5,40,2
2021-12-22,9,E,E5,7.5,26,2
2021-12-22,9,E,E5,10,18,2
2021-12-22,9,E,E5,15,12,2
2021-12-22,9,E,E6,0,91,2
2021-12-22,9,E,E6,2.5,40,2
2021-12-22,9,E,E6,5,29,2
2021-12-22,9,E,E6,7.5,17,2
2021-12-22,9,E,E6,10,2,2
2021-12-22,9,E,E6,15,5,2
2021-12-22,9,E,E7,0,80,2
2021-12-22,9,E,E7,2.5,41,2
2021-12-22,9,E,E7,5,28,2
2021-12-22,9,E,E7,7.5,11,2
2021-12-22,9,E,E7,10,6,2
2021-12-22,9,E,E7,15,1,2
2021-12-22,9,E,E8,0,92,2
2021-12-22,9,E,E8,2.5,41,2
2021-12-22,9,E,E8,5,33,2
2021-12-22,9,E,E8,7.5,12,2
2021-12-22,9,E,E8,10,8,2
2021-12-22,9,E,E8,15,1,2
2021-12-22,9,E,E9,0,94,1
2021-12-22,9,E,E9,2.5,44,2
2021-12-22,9,E,E9,5,39,2
2021-12-22,9,E,E9,7.5,19,2
2021-12-22,9,E,E9,10,11,2
2021-12-22,9,E,E9,15,2,2
2021-12-22,9,P,P1,0,88,2
2021-12-22,9,P,P1,2.5,82,2
2021-12-22,9,P,P1,5,68,2
2021-12-22,9,P,P1,7.5,52,2
2021-12-22,9,P,P1,10,55,2
2021-12-22,9,P,P1,15,50,2
2021-12-22,9,P,P10,0,86,2
2021-12-22,9,P,P10,2.5,75,2
2021-12-22,9,P,P10,5,72,2
2021-12-22,9,P,P10,7.5,64,2
2021-12-22,9,P,P10,10,44,2
2021-12-22,9,P,P10,15,34,2
2021-12-22,9,P,P2,0,88,2
2021-12-22,9,P,P2,2.5,82,2
2021-12-22,9,P,P2,5,78,2
2021-12-22,9,P,P2,7.5,66,2
2021-12-22,9,P,P2,10,48,2
2021-12-22,9,P,P2,15,26,2
2021-12-22,9,P,P3,0,86,2
2021-12-22,9,P,P3,2.5,86,2
2021-12-22,9,P,P3,5,67,2
2021-12-22,9,P,P3,7.5,61,2
2021-12-22,9,P,P3,10,44,2
2021-12-22,9,P,P3,15,33,2
2021-12-22,9,P,P4,0,90,2
2021-12-22,9,P,P4,2.5,81,2
2021-12-22,9,P,P4,5,74,2
2021-12-22,9,P,P4,7.5,71,2
2021-12-22,9,P,P4,10,49,2
2021-12-22,9,P,P4,15,27,2
2021-12-22,9,P,P5,0,88,2
2021-12-22,9,P,P5,2.5,82,2
2021-12-22,9,P,P5,5,81,2
2021-12-22,9,P,P5,7.5,68,2
2021-12-22,9,P,P5,10,48,2
2021-12-22,9,P,P5,15,27,2
2021-12-22,9,P,P6,0,90,2
2021-12-22,9,P,P6,2.5,82,2
2021-12-22,9,P,P6,5,72,2
2021-12-22,9,P,P6,7.5,66,2
2021-12-22,9,P,P6,10,45,2
2021-12-22,9,P,P6,15,32,2
2021-12-22,9,P,P7,0,85,2
2021-12-22,9,P,P7,2.5,76,2
2021-12-22,9,P,P7,5,77,2
2021-12-22,9,P,P7,7.5,62,2
2021-12-22,9,P,P7,10,45,2
2021-12-22,9,P,P7,15,36,2
2021-12-22,9,P,P8,0,93,2
2021-12-22,9,P,P8,2.5,82,2
2021-12-22,9,P,P8,5,82,2
2021-12-22,9,P,P8,7.5,61,2
2021-12-22,9,P,P8,10,51,2
2021-12-22,9,P,P8,15,40,2
2021-12-22,9,P,P9,0,81,2
2021-12-22,9,P,P9,2.5,86,2
2021-12-22,9,P,P9,5,74,2
2021-12-22,9,P,P9,7.5,61,2
2021-12-22,9,P,P9,10,48,2
2021-12-22,9,P,P9,15,35,2
